sample_ID	site	habitat	burrow_feature	gopher_tortoise_activity	treatment	sampling_date	Soil.pH	pH.Buffer	Soluble.Salt	Organic.Matter	Soil.Respiration	Total.N	Organic.N	Total.Organic.C	Nitrate	Ammonium	Inorganic.Nitrogen	Total.Phosphorus	Inorganic.Phosphorus	Organic.Phosphorus	Potassium	Calcium	Aluminum	Iron	Sulfur	Zinc	Manganese	Copper	Magnesium	Sodium	Microbially.Active.Carbon	Organic.C:N	OrganicN:InorganicN	Organic.N.Release	Organic.N.Reserve	Soil.Health.Calculation	Available.N	Available.P	Available.K	Percent.Moisture	Gravimetric.H2O	Qubit
S.13.A_F	13	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.4	6.8	0.04	0.4	11.2	1.5	0.7	12	0.09	1.6	1.7	3	1.4	2	7	37	111	27	1	0.2	1.3	0.04	11	12	97	15.5	0.4	0.7	0	1.43	5.9	7.8	8.6	6.531959588	0.069884418	4460
F.14.A_F	14	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	4.6	6.8	0.05	0.8	26.2	4.1	2.7	45	0.6	2.9	3.5	4	2.7	1.1	3	36	146	47	1.2	0.22	3.2	0.13	10	8	58.2	16.6	0.8	2.7	0	3.79	14.8	8.7	3.6	6.059698513	0.064505845	1260
S.14.A_F	14	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.3	6.8	0.04	0.6	15.5	1.3	0.4	20	0.09	2.4	2.5	4	1.4	2.3	5	60	177	34	1.7	0.37	2.4	0.07	15	11	77.6	53.4	0.2	0.4	0	1.99	6.9	8.6	6.3	6.638672266	0.071107303	4560
F.15.A_F	15	Degraded	Apron	Burrowing	DegradedBurrowing	Fall	5	6.8	0.06	0.6	17.6	3.6	1.8	35	0.1	3.7	3.8	24	15.3	9.1	7	41	248	82	2.5	0.34	1.4	0.15	12	13	50.7	19.2	0.5	1.8	0	2.63	13.6	56.1	7.9	5.536124713	0.058605734	4460
S.15.A_F	15	Intact	Apron	Burrowing	IntactBurrowing	Fall	5.1	6.7	0.08	0.8	16.4	4.6	2.1	39	0.2	2.4	2.6	4	1.4	2.4	5	45	180	45	1.8	0.19	2.5	0.06	12	13	42.6	18.3	0.8	2.1	0	2.62	11.4	8.8	5.6	6.456126324	0.069017094	6240
F.1.O_F	1	Degraded	Outside	Foraging	DegradedForaging	Fall	5.2	6.6	0.08	1.7	27.3	4.9	3.2	41	0.8	1.8	2.6	22	18.7	3.1	8	348	174	34	3.3	0.9	7	0.14	59	10	66.1	12.8	1.2	3.2	0	3.88	14	50.2	9.8	6.594967532	0.070606126	28800
S.1.O_F	1	Intact	Outside	Foraging	IntactForaging	Fall	5.4	6.8	0.09	1.2	28.7	3.9	2.8	45	0.6	2.2	2.8	11	9.1	1.5	9	188	155	38	1.9	0.21	7.8	0.15	29	10	63.5	16	1	2.8	0	4.06	13.4	24.3	10.5	8.243727599	0.08984375	26400
F.2.O_F	2	Degraded	Outside	Foraging	DegradedForaging	Fall	5.2	6.8	0.11	1.2	28.6	6.4	3.4	56	0.2	2.6	2.8	10	4.1	6.1	9	95	157	39	2.6	0.64	9.3	0.07	20	13	51	16.7	1.2	3.4	0	4.32	14.8	23.4	11.4	6.354281147	0.067854476	35600
S.2.O_F	2	Intact	Outside	Foraging	IntactForaging	Fall	5.1	6.7	0.06	1.1	24.2	5.2	3.2	61	0.1	2.7	2.9	4	1.4	2.9	10	143	177	38	2.3	0.23	5.6	0.06	25	13	39.5	19.4	1.1	3.2	0	3.96	14.5	10	11.7	5.985809933	0.063669218	13620
F.3.O_F	3	Degraded	Outside	Foraging	DegradedForaging	Fall	5	6.7	0.08	1	21.9	7.2	4.3	66	0.1	2.7	2.9	8	2.6	5.8	7	68	144	41	2.2	0.65	3.8	0.05	18	11	33.4	15.2	1.5	4.3	0	3.93	17.2	19.3	8	6.084523928	0.064787234	28400
S.3.O_F	3	Intact	Outside	Foraging	IntactForaging	Fall	4.8	6.8	0.06	0.8	18.9	2.3	0.7	27	0.1	3	3.1	3	0.7	2	6	47	223	59	2	0.2	1.2	0.04	13	13	69.1	39.1	0.2	0.7	0	2.51	9.2	6.1	7.6	5.580513128	0.059103405	11840
F.4.O_F	4	Degraded	Outside	Foraging	DegradedForaging	Fall	5.5	6.7	0.12	1.6	19.1	4.7	2.5	37	0.6	3.2	3.8	5	1.4	3.2	8	154	149	39	2.4	0.64	4.8	0.05	25	13	51.6	14.7	0.7	2.5	0	2.9	15.1	10.7	9.1	6.297481008	0.067207169	29600
S.4.O_F	4	Intact	Outside	Foraging	IntactForaging	Fall	5.5	6.8	0.1	1.2	20.7	3.5	1.7	40	0.2	2.5	2.7	17	10.9	6.4	10	131	220	65	1.9	0.21	3.3	0.06	22	13	52.2	23.4	0.6	1.7	0	3.03	10.6	39.8	12.3	7.548303133	0.081645912	17580
F.5.O_F	5	Degraded	Outside	Foraging	DegradedForaging	Fall	5.5	6.8	0.09	1.3	27.4	4.5	3.1	40	0.3	2.4	2.7	15	8.4	7.1	19	208	129	36	3.1	0.38	3.1	0.15	25	13	69.1	12.9	1.1	3.1	0	3.84	13.9	35.6	22.9	3.851155347	0.040054099	19980
S.5.O_F	5	Intact	Outside	Foraging	IntactForaging	Fall	4.9	6.7	0.06	1.2	18.8	2.2	0.9	36	0.09	2	2.1	5	2.2	2.8	7	94	178	51	1.5	0.27	3	0.05	22	13	52.2	40.1	0.4	0.9	0	2.69	7.1	11.5	8.4	9.443220509	0.104279553	16720
F.6.O_F	6	Degraded	Outside	Foraging	DegradedForaging	Fall	5.1	6.8	0.07	0.7	18.2	6.7	3.5	30	1.7	2.6	4.3	9	6.6	2.1	4	98	128	34	1.5	0.18	1	0.11	13	10	59.7	8.7	0.8	3.5	0	2.78	18.8	20	4.3	5.428456753	0.057400531	14760
S.6.O_F	6	Intact	Outside	Foraging	IntactForaging	Fall	4.8	6.7	0.07	1.1	17.2	1.7	0.8	30	0.1	1.8	1.9	3	1.1	1.9	8	56	157	34	1.3	0.26	2.5	0.04	18	13	58.1	38	0.4	0.8	0	2.39	6.5	6.9	9.5	7.6032728	0.082289417	18520
F.7.O_F	7	Degraded	Outside	Foraging	DegradedForaging	Fall	4.8	6.8	0.06	0.8	21.3	6	5.6	47	0.5	0.6	1.1	6	3.4	2.3	8	53	124	27	1.3	0.33	1.4	0.12	13	8	45.2	8.4	5.1	5.6	0	3.63	16	13.1	9.4	5.975816928	0.06355617	18520
S.7.O_F	7	Intact	Outside	Foraging	IntactForaging	Fall	4.6	6.8	0.07	1.3	20.3	4.7	3.8	49	0.6	1.5	2.1	3	1.6	1	7	54	119	37	1.3	0.36	1.7	0.13	12	9	41.3	12.9	1.8	3.8	0	3.39	14.1	5.9	9	5.952380952	0.063291139	20800
F.8.O_F	8	Degraded	Outside	Foraging	DegradedForaging	Fall	4.8	6.8	0.05	0.9	17	4.3	2.1	35	0.9	3.2	4.1	17	14.3	3.1	3	58	165	72	1.2	0.23	1	0.5	14	9	49.1	16.3	0.5	2.1	0	2.61	14.9	40.1	3.8	5.424575425	0.057357135	18600
S.8.O_F	8	Intact	Outside	Foraging	IntactForaging	Fall	4.4	6.8	0.05	0.7	20.3	3.4	2.3	33	0.7	2.7	3.4	3	1.6	1.7	3	31	182	59	1.1	0.18	0.9	0.12	9	8	60.8	14.6	0.7	2.3	0	2.93	13.6	7.5	3.8	5.620232838	0.059549128	8100
F.9.O_F	9	Degraded	Outside	Foraging	DegradedForaging	Fall	4.8	6.4	0.12	2.1	28.6	4.2	2.3	64	0.09	2.1	2.1	18	11	7	9	150	173	81	2.3	0.35	2.2	0.04	42	15	45	27.8	1.1	2.3	0	4.36	10.6	41.4	10.4	8.003500924	0.086997886	17320
S.9.O_F	9	Intact	Outside	Foraging	IntactForaging	Fall	4.5	6.8	0.07	0.8	15.5	4.7	3	39	1	2	3	3	2.2	1.2	4	33	220	53	1.4	0.18	1	0.12	10	8	39.8	12.9	1	3	0	2.63	14.5	7.8	4.3	5.613028782	0.059468258	5220
S.10.O_F	10	Intact	Outside	Foraging	IntactForaging	Fall	4.7	6.8	0.06	0.9	22.4	3.5	2.1	36	0.6	1.7	2.3	3	1.6	0.9	4	37	188	40	1.3	0.26	1.7	0.11	10	9	62.2	16.9	0.9	2.1	0	3.17	10.6	5.9	5	5.476633683	0.057939469	12240
S.11.O_F	11	Intact	Outside	Foraging	IntactForaging	Fall	4.9	6.9	0.02	0.8	14.6	2.6	1.7	36	0.6	1.3	1.9	2	1.3	0.4	5	42	184	41	1.2	0.17	2.4	0.11	12	9	40.8	20.7	0.9	1.7	0	2.35	8.6	4	5.8	5.830670927	0.061916879	11520
F.12.O_F	12	Degraded	Outside	Foraging	DegradedForaging	Fall	4.7	6.8	0.04	0.8	19.4	4.2	3.2	36	0.6	1.7	2.4	17	14	3.2	4	43	141	37	1.2	0.45	3.5	0.16	9	9	53.5	11.4	1.3	3.2	0	2.98	13.3	39.7	4.6	5.461887935	0.057774455	13200
S.12.O_F	12	Intact	Outside	Foraging	IntactForaging	Fall	5	6.6	0.1	1.2	19.9	2.7	1	31	0.1	2.1	2.2	5	2.1	2.9	10	62	175	39	2.2	0.27	5.5	0.05	15	13	64	32.3	0.4	1	0	2.71	7.6	11.7	11.8	6.68579932	0.071648252	14960
F.13.O_F	13	Degraded	Outside	Foraging	DegradedForaging	Fall	4.5	6.8	0.05	0.8	21.8	5.2	3.8	47	0.6	2.3	2.8	8	5.7	2.4	4	30	127	39	1.1	0.23	2.6	0.15	8	8	46.8	12.4	1.3	3.8	0	3.49	15.9	18.6	5	5.297880848	0.05594258	12820
S.13.O_F	13	Intact	Outside	Foraging	IntactForaging	Fall	4.8	6.6	0.06	1.1	16.8	2.5	1.4	26	0.09	1.7	1.7	4	1.8	2.5	9	63	123	45	1.9	0.46	3.6	0.1	14	11	65.8	18.4	0.8	1.4	0	2.33	7.4	9.9	10.3	5.271811736	0.055651985	13660
F.14.O_F	14	Degraded	Outside	Foraging	DegradedForaging	Fall	4.5	6.8	0.04	0.7	20.1	3.2	2.3	34	0.6	2.4	3	5	3.5	1.3	4	31	168	38	1.3	0.2	2.8	0.13	9	9	59.4	14.5	0.8	2.3	0	2.92	12.7	11.1	4.3	5.777299623	0.061315369	19480
S.14.O_F	14	Intact	Outside	Foraging	IntactForaging	Fall	4.8	6.6	0.06	1.3	12.2	1.7	0.6	22	0.09	1.9	1.9	11	4.9	6.1	6	124	151	37	1.5	0.29	3.4	0.04	21	11	56.7	38.3	0.3	0.6	0	1.71	5.9	25.2	7.6	7.19568259	0.077536076	13380
F.15.O_F	15	Degraded	Outside	Foraging	DegradedForaging	Fall	4.6	6.4	0.05	1.6	17.3	4.6	1.9	56	0.2	2.9	3.1	26	18.6	7.2	8	40	229	80	2.8	0.3	2.9	0.2	13	15	30.8	29.9	0.6	1.9	0	3.04	11.9	58.2	9	6.545338442	0.070037581	16680
S.15.O_F	15	Intact	Outside	Foraging	IntactForaging	Fall	4.3	6.3	0.08	3	19.5	8.9	5.8	114	0.09	3.3	3.4	7	2.5	4.1	11	77	181	56	2.8	0.46	2.9	0.1	19	13	17	19.7	1.7	4	1.8	4.82	17.7	10.6	13.6	13.12109491	0.151027397	24200
