#OTU ID	F.1.A_F	F.1.O_F	S.1.A_F	S.1.O_F	F.2.A_F	F.2.O_F	S.2.A_F	S.2.O_F	F.3.A_F	F.3.O_F	S.3.A_F	S.3.O_F	F.4.A_F	F.4.O_F	S.4.A_F	S.4.O_F	F.5.A_F	F.5.O_F	S.5.A_F	S.5.O_F	F.6.A_F	F.6.O_F	S.6.A_F	S.6.O_F	F.7.A_F	F.7.O_F	S.7.A_F	S.7.O_F	F.8.A_F	F.8.O_F	S.8.A_F	S.8.O_F	F.9.A_F	F.9.O_F	S.9.A_F	S.9.O_F	F.10.A_F	F.10.O_F	S.10.A_F	S.10.O_F	F.11.A_F	F.11.O_F	S.11.A_F	S.11.O_F	F.12.A_F	F.12.O_F	S.12.A_F	S.12.O_F	F.13.A_F	F.13.O_F	S.13.A_F	S.13.O_F	F.14.A_F	F.14.O_F	S.14.A_F	S.14.O_F	F.15.A_F	F.15.O_F	S.15.A_F	S.15.O_F	taxonomy
4d11daca034bcbacf227fe7ed85db91b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida;Monocystidae;Monocystis;Monocystis agilis;4d11daca034bcbacf227fe7ed85db91b
1c279c95dcb73b3573d0fa918d69144b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida;Monocystidae;Monocystis;Monocystis agilis;1c279c95dcb73b3573d0fa918d69144b
703cd1a78831627fe7a23d164df7b438	0	0	78	0	0	31	27	0	0	0	0	0	0	14	0	0	3	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida;Monocystidae;Monocystis;Monocystis agilis;703cd1a78831627fe7a23d164df7b438
c6ed3b9f63b5a918ea601cbc8f94b5a7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida;Monocystidae;Monocystis;Monocystis agilis;c6ed3b9f63b5a918ea601cbc8f94b5a7
7a56438ca1e50936fc912509df70b328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19504	0	357	0	0	Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Eugregarinorida;Monocystidae;Monocystis;Monocystis agilis;7a56438ca1e50936fc912509df70b328
7df5b1679f69309d1cb08391f56d7966	0	0	10	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Neogregarinorida;Syncystidae;Syncystis;Syncystis mirabilis;7df5b1679f69309d1cb08391f56d7966
72a7c51d702a8b101222d2d8850dfe70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Neogregarinorida;Syncystidae;Syncystis;Syncystis mirabilis;72a7c51d702a8b101222d2d8850dfe70
5b6554a8da49da40180efe453c25a9dc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Neogregarinorida;Syncystidae;Syncystis;Syncystis mirabilis;5b6554a8da49da40180efe453c25a9dc
d9455a8cdd0ad8f10337f5a2de707d09	0	10	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	5101	533	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	886	Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina;Neogregarinorida;Syncystidae;Syncystis;Syncystis mirabilis;d9455a8cdd0ad8f10337f5a2de707d09
4cb4b4297daf65a2271f32f9834bf0f5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota;Alveolata;Apicomplexa;unclassified Apicomplexa;Apicomplexa sp. type N;4cb4b4297daf65a2271f32f9834bf0f5
